Date,NAV
09-Aug-19,25.0423
08-Aug-19,25.169
07-Aug-19,25.1779
06-Aug-19,25.1273
05-Aug-19,25.0317
02-Aug-19,25.087
01-Aug-19,24.9938
31-Jul-19,25.0442
30-Jul-19,25.006
29-Jul-19,24.9623
26-Jul-19,24.8189
25-Jul-19,24.8314
24-Jul-19,24.9368
23-Jul-19,24.9139
22-Jul-19,24.9765
19-Jul-19,25.0604
18-Jul-19,25.0287
17-Jul-19,25.0381
16-Jul-19,25.0855
15-Jul-19,25.0154
12-Jul-19,24.9594
11-Jul-19,24.9525
10-Jul-19,24.8728
09-Jul-19,24.7937
08-Jul-19,24.8105
05-Jul-19,24.6092
04-Jul-19,24.5086
03-Jul-19,24.4013
02-Jul-19,24.3669
01-Jul-19,24.3169
28-Jun-19,24.3107
27-Jun-19,24.2662
26-Jun-19,24.2142
25-Jun-19,24.2801
24-Jun-19,24.3159
21-Jun-19,24.2999
20-Jun-19,24.3863
19-Jun-19,24.3097
18-Jun-19,24.3453
17-Jun-19,24.1753
14-Jun-19,24.1737
13-Jun-19,24.0314
12-Jun-19,24.0264
11-Jun-19,23.9849
10-Jun-19,23.9477
07-Jun-19,24.0023
06-Jun-19,24.0206
04-Jun-19,23.8994
03-Jun-19,23.9365
31-May-19,23.8555
30-May-19,23.7374
29-May-19,23.7403
28-May-19,23.7165
27-May-19,23.6635
24-May-19,23.5907
23-May-19,23.5685
22-May-19,23.5106
21-May-19,23.4868
20-May-19,23.4671
17-May-19,23.3307
16-May-19,23.3331
15-May-19,23.3066
14-May-19,23.3015
13-May-19,23.2589
10-May-19,23.2505
09-May-19,23.2485
08-May-19,23.2604
07-May-19,23.234
06-May-19,23.2035
03-May-19,23.1783
02-May-19,23.1422
30-Apr-19,23.1088
26-Apr-19,23.0664
25-Apr-19,23.0382
24-Apr-19,23.044
23-Apr-19,23.0025
22-Apr-19,22.9636
18-Apr-19,23.02
16-Apr-19,23.0348
15-Apr-19,23.0312
12-Apr-19,23.0169
11-Apr-19,23.0564
10-Apr-19,23.0561
09-Apr-19,23.0278
08-Apr-19,23.0099
05-Apr-19,23.084
04-Apr-19,23.0706
03-Apr-19,23.1716
02-Apr-19,23.1758
31-Mar-19,23.133
29-Mar-19,23.1285
28-Mar-19,23.1183
27-Mar-19,23.0951
26-Mar-19,23.1033
25-Mar-19,23.0867
22-Mar-19,23.0223
20-Mar-19,22.9456
19-Mar-19,22.9293
18-Mar-19,22.918
15-Mar-19,22
14-Mar-19,22
13-Mar-19,22.7609
12-Mar-19,22.7024
