DATE,NAV
02-Jan-13,23.1228
03-Jan-13,23.19680
04-Jan-13,23.26600
07-Jan-13,23.35600
08-Jan-13,23.36900
09-Jan-13,23.39220
10-Jan-13,23.43080
11-Jan-13,23.46990
14-Jan-13,23.62270
15-Jan-13,23.56560
16-Jan-13,23.44740
17-Jan-13,23.51830
18-Jan-13,23.50690
21-Jan-13,23.49720
22-Jan-13,23.50010
23-Jan-13,23.46010
24-Jan-13,23.43090
28-Jan-13,23.47710
29-Jan-13,23.48530
30-Jan-13,23.42780
31-Jan-13,23.39090
01-Feb-13,23.41250
04-Feb-13,23.38230
05-Feb-13,23.41580
06-Feb-13,23.45550
07-Feb-13,23.53430
08-Feb-13,23.58580
11-Feb-13,23.57870
12-Feb-13,23.55630
13-Feb-13,23.61070
14-Feb-13,23.65250
15-Feb-13,23.63610
18-Feb-13,23.64880
20-Feb-13,23.70010
21-Feb-13,23.68510
22-Feb-13,23.70340
25-Feb-13,23.71120
26-Feb-13,23.69620
27-Feb-13,23.71170
28-Feb-13,23.62860
01-Mar-13,23.63190
04-Mar-13,23.65820
05-Mar-13,23.67420
06-Mar-13,23.69440
07-Mar-13,23.70420
08-Mar-13,23.72510
11-Mar-13,23.73650
12-Mar-13,23.71470
13-Mar-13,23.71440
14-Mar-13,23.74460
15-Mar-13,23.75450
18-Mar-13,23.74580
19-Mar-13,23.73230
20-Mar-13,23.71570
21-Mar-13,23.71110
22-Mar-13,23.70090
25-Mar-13,23.70880
26-Mar-13,23.72600
28-Mar-13,23.75360
31-Mar-13,23.76850
02-Apr-13,23.75300
03-Apr-13,23.76610
04-Apr-13,23.77870
05-Apr-13,23.78930
08-Apr-13,23.81190
09-Apr-13,23.82100
10-Apr-13,23.83440
12-Apr-13,23.85870
15-Apr-13,23.94730
16-Apr-13,23.97560
17-Apr-13,24.03240
18-Apr-13,24.10480
22-Apr-13,24.17210
23-Apr-13,24.24400
25-Apr-13,24.21650
26-Apr-13,24.24850
29-Apr-13,24.24890
30-Apr-13,24.27230
02-May-13,24.30100
03-May-13,24.28300
06-May-13,24.28410
07-May-13,24.34870
08-May-13,24.44140
09-May-13,24.63200
10-May-13,24.68800
13-May-13,24.72740
15-May-13,25.02950
16-May-13,25.17040
17-May-13,25.21550
20-May-13,25.30260
21-May-13,25.33100
22-May-13,25.31710
23-May-13,25.31500
24-May-13,25.37400
27-May-13,25.40430
28-May-13,25.40190
29-May-13,25.35850
30-May-13,25.28470
31-May-13,25.26420
03-Jun-13,25.26650
04-Jun-13,25.38060
05-Jun-13,25.35480
06-Jun-13,25.36470
07-Jun-13,25.32940
10-Jun-13,25.24590
11-Jun-13,25.19020
12-Jun-13,25.21320
13-Jun-13,25.16990
14-Jun-13,25.19140
17-Jun-13,25.30590
18-Jun-13,25.27010
19-Jun-13,25.28560
20-Jun-13,25.08410
21-Jun-13,25.12520
24-Jun-13,25.03350
25-Jun-13,25.04120
26-Jun-13,24.96550
27-Jun-13,25.00810
28-Jun-13,25.12610
02-Jul-13,25.11490
03-Jul-13,25.07680
04-Jul-13,25.18800
05-Jul-13,25.14600
08-Jul-13,25.09790
09-Jul-13,25.13470
10-Jul-13,25.16400
11-Jul-13,25.24950
12-Jul-13,25.20190
15-Jul-13,25.21620
16-Jul-13,24.62020
17-Jul-13,24.64820
18-Jul-13,24.73840
19-Jul-13,24.77220
22-Jul-13,24.57890
23-Jul-13,24.48280
24-Jul-13,24.20620
25-Jul-13,24.48670
26-Jul-13,24.50950
29-Jul-13,24.54110
30-Jul-13,24.38460
31-Jul-13,24.47310
01-Aug-13,24.61220
02-Aug-13,24.35540
05-Aug-13,24.46180
06-Aug-13,24.47260
07-Aug-13,24.55110
08-Aug-13,24.59120
12-Aug-13,24.31550
13-Aug-13,24.14860
14-Aug-13,24.02880
16-Aug-13,23.46290
19-Aug-13,22.98890
20-Aug-13,23.48710
21-Aug-13,24.26640
22-Aug-13,24.54660
23-Aug-13,24.48800
26-Aug-13,24.42560
27-Aug-13,23.79390
28-Aug-13,23.54090
29-Aug-13,23.82130
30-Aug-13,23.95920
02-Sep-13,24.28450
03-Sep-13,24.09020
04-Sep-13,24.32110
05-Sep-13,24.29480
06-Sep-13,24.03410
10-Sep-13,24.21230
11-Sep-13,24.23110
12-Sep-13,24.19440
13-Sep-13,24.21410
16-Sep-13,24.28680
17-Sep-13,24.29070
18-Sep-13,24.42380
19-Sep-13,24.79370
20-Sep-13,24.26290
23-Sep-13,24.01920
24-Sep-13,24.00800
25-Sep-13,24.00080
26-Sep-13,24.06280
27-Sep-13,24.10030
30-Sep-13,24.07650
01-Oct-13,24.16060
03-Oct-13,24.31680
04-Oct-13,24.37550
07-Oct-13,24.34190
08-Oct-13,24.65430
09-Oct-13,24.71870
10-Oct-13,24.75560
11-Oct-13,24.70830
14-Oct-13,24.61410
15-Oct-13,24.47540
17-Oct-13,24.59320
18-Oct-13,24.68660
21-Oct-13,24.63570
22-Oct-13,24.62000
23-Oct-13,24.58670
24-Oct-13,24.65220
25-Oct-13,24.65040
28-Oct-13,24.55370
29-Oct-13,24.74930
30-Oct-13,24.74000
31-Oct-13,24.68830
01-Nov-13,24.61470
06-Nov-13,24.48490
07-Nov-13,24.44610
08-Nov-13,24.27820
11-Nov-13,24.33190
12-Nov-13,24.20550
13-Nov-13,24.42710
14-Nov-13,24.30090
18-Nov-13,24.41240
19-Nov-13,24.38730
20-Nov-13,24.36420
21-Nov-13,24.31490
22-Nov-13,24.29580
25-Nov-13,24.32390
26-Nov-13,24.36170
27-Nov-13,24.44240
28-Nov-13,24.43170
29-Nov-13,24.40090
02-Dec-13,24.43520
03-Dec-13,24.42120
04-Dec-13,24.41500
05-Dec-13,24.42260
06-Dec-13,24.35310
09-Dec-13,24.27930
10-Dec-13,24.34040
11-Dec-13,24.34170
12-Dec-13,24.34250
13-Dec-13,24.26550
16-Dec-13,24.31530
17-Dec-13,24.26610
18-Dec-13,24.43110
19-Dec-13,24.53460
20-Dec-13,24.48780
23-Dec-13,24.44290
24-Dec-13,24.39690
26-Dec-13,24.41440
27-Dec-13,24.33630
30-Dec-13,24.45770
31-Dec-13,24.51170
01-Jan-14,24.48220
02-Jan-14,24.48920
03-Jan-14,24.50400
06-Jan-14,24.58810
07-Jan-14,24.58120
08-Jan-14,24.56140
09-Jan-14,24.61630
10-Jan-14,24.66240
13-Jan-14,24.74600
16-Jan-14,24.90580
17-Jan-14,24.91250
20-Jan-14,25.09420
21-Jan-14,25.04020
22-Jan-14,24.96630
23-Jan-14,24.91000
24-Jan-14,24.79250
27-Jan-14,24.75430
28-Jan-14,24.75760
29-Jan-14,24.72930
30-Jan-14,24.67510
31-Jan-14,24.75190
03-Feb-14,24.79810
04-Feb-14,24.86660
05-Feb-14,24.84980
06-Feb-14,24.84390
07-Feb-14,24.84050
10-Feb-14,24.87360
11-Feb-14,24.80350
12-Feb-14,24.71490
13-Feb-14,24.66200
14-Feb-14,24.72450
17-Feb-14,24.73840
18-Feb-14,24.77820
20-Feb-14,24.76780
21-Feb-14,24.76720
24-Feb-14,24.67440
25-Feb-14,24.68820
26-Feb-14,24.65690
28-Feb-14,24.75920
03-Mar-14,24.72390
04-Mar-14,24.78420
05-Mar-14,24.78470
06-Mar-14,24.83620
07-Mar-14,24.82190
10-Mar-14,24.88930
11-Mar-14,24.91360
12-Mar-14,24.96250
13-Mar-14,24.95930
14-Mar-14,24.93310
18-Mar-14,24.96220
19-Mar-14,24.99340
20-Mar-14,25.00090
21-Mar-14,24.99470
24-Mar-14,25.05050
25-Mar-14,25.08820
26-Mar-14,25.09020
27-Mar-14,25.10050
28-Mar-14,25.09980
02-Apr-14,25.06540
03-Apr-14,25.04700
04-Apr-14,25.05620
07-Apr-14,25.07270
09-Apr-14,25.12010
10-Apr-14,25.13520
11-Apr-14,25.13320
15-Apr-14,25.13620
16-Apr-14,25.13450
