date,nav
09-08-2019,45.10650
08-08-2019,45.32590
07-08-2019,45.34050
06-08-2019,45.35520
05-08-2019,45.19880
02-08-2019,45.29680
01-08-2019,45.08690
31-07-2019,45.21970
30-07-2019,45.14210
29-07-2019,45.10280
26-07-2019,44.75220
25-07-2019,44.78820
24-07-2019,45.01310
23-07-2019,44.92710
22-07-2019,45.11430
19-07-2019,45.23690
18-07-2019,45.17910
17-07-2019,45.25320
16-07-2019,45.30240
15-07-2019,45.04040
12-07-2019,44.87900
11-07-2019,44.87690
10-07-2019,44.69350
09-07-2019,44.52580
08-07-2019,44.56920
05-07-2019,44.19580
04-07-2019,43.96110
03-07-2019,43.87260
02-07-2019,43.82450
01-07-2019,43.74130
28-06-2019,43.72700
27-06-2019,43.67630
26-06-2019,43.61250
25-06-2019,43.65660
24-06-2019,43.65310
21-06-2019,43.63980
20-06-2019,43.84430
19-06-2019,43.68140
18-06-2019,43.67860
17-06-2019,43.30700
14-06-2019,43.20820
13-06-2019,42.91350
12-06-2019,42.88620
11-06-2019,42.79460
10-06-2019,42.71950
07-06-2019,42.94470
06-06-2019,43.07380
04-06-2019,42.73610
03-06-2019,42.83550
31-05-2019,42.67880
30-05-2019,42.44950
29-05-2019,42.45690
28-05-2019,42.39080
27-05-2019,42.32200
24-05-2019,42.13810
23-05-2019,42.11380
22-05-2019,42.06500
21-05-2019,42.03780
20-05-2019,42.04630
17-05-2019,41.91790
16-05-2019,41.91930
15-05-2019,41.87960
14-05-2019,41.88140
13-05-2019,41.82510
10-05-2019,41.79780
09-05-2019,41.80490
08-05-2019,41.81860
07-05-2019,41.79440
06-05-2019,41.76460
03-05-2019,41.72940
02-05-2019,41.71130
30-04-2019,41.65850
26-04-2019,41.60610
25-04-2019,41.56990
24-04-2019,41.57530
23-04-2019,41.52770
22-04-2019,41.49320
18-04-2019,41.54890
16-04-2019,41.54930
15-04-2019,41.52940
12-04-2019,41.49300
11-04-2019,41.54120
10-04-2019,41.55960
09-04-2019,41.51990
08-04-2019,41.49470
05-04-2019,41.59840
04-04-2019,41.52210
03-04-2019,41.70630
02-04-2019,41.68750
29-03-2019,41.60640
28-03-2019,41.58990
27-03-2019,41.52500
26-03-2019,41.54240
25-03-2019,41.47140
22-03-2019,41.34390
20-03-2019,41.23020
19-03-2019,41.15290
18-03-2019,41.13000
15-03-2019,41.02120
14-03-2019,40.97140
13-03-2019,40.94210
12-03-2019,40.91070
11-03-2019,40.94920
08-03-2019,40.90930
07-03-2019,40.86500
06-03-2019,40.85510
05-03-2019,40.86400
01-03-2019,40.83650
28-02-2019,40.78930
27-02-2019,40.67210
26-02-2019,40.75730
25-02-2019,40.75410
22-02-2019,40.70320
21-02-2019,40.77450
20-02-2019,40.76350
18-02-2019,40.70590
15-02-2019,40.68870
14-02-2019,40.75000
13-02-2019,40.81810
12-02-2019,40.68370
11-02-2019,40.68400
08-02-2019,40.67290
07-02-2019,40.71080
06-02-2019,40.62750
05-02-2019,40.56480
04-02-2019,40.49600
01-02-2019,40.54110
31-01-2019,40.68630
30-01-2019,40.58830
29-01-2019,40.61910
28-01-2019,40.59400
25-01-2019,40.56830
24-01-2019,40.54870
23-01-2019,40.52110
22-01-2019,40.56510
21-01-2019,40.50960
18-01-2019,40.45390
17-01-2019,40.50880
16-01-2019,40.48940
15-01-2019,40.63820
14-01-2019,40.70360
11-01-2019,40.55770
10-01-2019,40.59680
09-01-2019,40.59910
08-01-2019,40.62120
07-01-2019,40.52140
04-01-2019,40.60250
03-01-2019,40.63400
02-01-2019,40.75680
01-01-2019,40.63620
31-12-2018,40.72250
28-12-2018,40.66630
27-12-2018,40.90110
26-12-2018,40.92470
24-12-2018,40.87020
