date,rate
07 Aug 2019,5.40
06 Jun 2019,5.75
04 Apr 2019,6.00
07 Feb 2019,6.25
05 Dec 2018,6.50
05 Oct 2018,6.50
01 Aug 2018,6.50
06 Jun 2018,6.25
05 Apr 2018,6.00
07 Feb 2018,6.00
06 Dec 2017,6.00
04 Oct 2017,6.00
02 Aug 2017,6.00
08 Jun 2017,6.25
06 Apr 2017,6.25
08 Feb 2017,6.25
07 Dec 2016,6.25
04 Oct 2016,6.25
05 Apr 2016,6.50
29 Sep 2015,6.75
02 Jun 2015,7.25
04 Mar 2015,7.50
15 Jan 2015,7.75
28 Jan 2014,8.00
18 Dec 2013,7.75
29 Oct 2013,7.75
20 Sep 2013,7.50
03 May 2013,7.25
19 Mar 2013,7.50
29 Jan 2013,7.75
17 Apr 2012,8.00
25 Oct 2011,8.50
16 Sep 2011,8.25
26 Jul 2011,8.00
16 Jun 2011,7.50
03 May 2011,7.25
17 Mar 2011,6.75
25 Jan 2011,6.50
02 Nov 2010,6.25
16 Sep 2010,6.00
27 Jul 2010,5.75
02 Jul 2010,5.50
20 Apr 2010,5.25
19 Mar 2010,5.00
21 Apr 2009,4.75
05 Mar 2009,5.00
05 Jan 2009,5.50
08 Dec 2008,6.50
03 Nov 2008,7.50
20 Oct 2008,8.00
30 Jul 2008,9.00
25 Jun 2008,8.50
12 Jun 2008,8.00
30 Mar 2007,7.75
31 Jan 2007,7.50
30 Oct 2006,7.25
25 Jul 2006,7.00
24 Jan 2006,6.50
26 Oct 2005,6.25
