date,price,open,high,low,change
Aug 04 2019,6.494,6.367,6.523,6.296,2.24
Jul 28 2019,6.352,6.452,6.460,6.324,-2.65
Jul 21 2019,6.525,6.424,6.556,6.406,2.58
Jul 14 2019,6.361,6.459,6.467,6.266,-1.96
Jul 07 2019,6.488,6.713,6.713,6.457,-3.09
Jun 30 2019,6.695,6.906,6.930,6.576,-2.67
Jun 23 2019,6.879,6.840,6.957,6.811,0.26
Jun 16 2019,6.861,6.933,6.947,6.734,-0.84
Jun 09 2019,6.919,6.984,7.097,6.914,-0.79
Jun 02 2019,6.974,6.949,7.024,6.876,-0.82
May 26 2019,7.032,7.226,7.228,7.030,-2.68
May 19 2019,7.226,7.287,7.312,7.191,-1.85
May 12 2019,7.362,7.418,7.419,7.348,-0.69
May 05 2019,7.413,7.403,7.426,7.365,0.22
Apr 28 2019,7.397,7.395,7.421,7.369,-0.15
Apr 21 2019,7.408,7.455,7.497,7.405,-0.16
Apr 14 2019,7.420,7.411,7.430,7.376,0.15
Apr 07 2019,7.409,7.374,7.418,7.356,0.76
Mar 31 2019,7.353,7.356,7.362,7.229,0.10
Mar 24 2019,7.346,7.471,7.474,7.301,-2.11
Mar 17 2019,7.504,7.477,7.545,7.452,0.03
Mar 10 2019,7.502,7.540,7.590,7.493,-0.40
Mar 03 2019,7.532,7.550,7.587,7.524,-0.32
Feb 24 2019,7.556,7.591,7.699,7.545,-0.64
Feb 17 2019,7.605,7.601,7.610,7.541,0.37
Feb 10 2019,7.577,7.524,7.584,7.436,0.70
Feb 03 2019,7.524,7.650,7.674,7.459,-1.13
Jan 27 2019,7.610,7.558,7.651,7.425,0.85
Jan 20 2019,7.546,7.628,7.650,7.511,-0.66
Jan 13 2019,7.596,7.474,7.609,7.423,1.24
Jan 06 2019,7.503,7.467,7.534,7.439,0.74
Dec 30 2018,7.448,7.368,7.475,7.339,0.77
Dec 23 2018,7.391,7.298,7.393,7.228,1.58
Dec 16 2018,7.276,7.443,7.463,7.218,-2.22
Dec 09 2018,7.441,7.505,7.703,7.382,-0.31
Dec 02 2018,7.464,7.646,7.653,7.371,-1.88
Nov 25 2018,7.607,7.677,7.750,7.576,-1.34
Nov 18 2018,7.710,7.820,7.836,7.704,-1.34
Nov 11 2018,7.815,7.789,7.821,7.707,0.64
Nov 04 2018,7.765,7.799,7.812,7.757,-0.21
Oct 28 2018,7.781,7.836,7.893,7.752,-1.22
Oct 21 2018,7.877,7.935,7.938,7.830,-0.56
Oct 14 2018,7.921,7.962,7.983,7.863,-0.79
Oct 07 2018,7.984,7.989,8.092,7.963,-0.50
Sep 30 2018,8.024,7.923,8.210,7.923,0.00
Sep 23 2018,8.024,8.094,8.141,8.015,-0.64
Sep 16 2018,8.076,8.164,8.184,8.017,-0.63
Sep 09 2018,8.127,8.069,8.231,8.069,1.20
Sep 02 2018,8.031,7.940,8.110,7.917,1.01
Aug 26 2018,7.951,7.865,7.958,7.860,1.02
Aug 19 2018,7.871,7.836,7.900,7.814,0.13
Aug 12 2018,7.861,7.807,7.876,7.789,1.38
Aug 05 2018,7.754,7.754,7.793,7.737,-0.12
Jul 29 2018,7.763,7.780,7.841,7.681,-0.22
Jul 22 2018,7.780,7.788,7.819,7.756,-0.06
Jul 15 2018,7.785,7.820,7.848,7.723,-0.08
Jul 08 2018,7.791,7.871,7.914,7.770,-1.00
Jul 01 2018,7.870,7.889,7.917,7.836,-0.42
Jun 24 2018,7.903,7.814,7.942,7.805,1.07
Jun 17 2018,7.819,7.832,7.921,7.769,-0.89
Jun 10 2018,7.889,7.977,8.000,7.880,-0.73
Jun 03 2018,7.947,7.868,7.997,7.823,1.26
May 27 2018,7.848,7.733,7.877,7.721,0.69
May 20 2018,7.794,7.901,7.901,7.787,-0.52
May 13 2018,7.835,7.720,7.945,7.708,1.41
May 06 2018,7.726,7.601,7.761,7.553,-0.03
Apr 29 2018,7.728,7.731,7.759,7.683,-0.50
Apr 22 2018,7.767,7.731,7.785,7.642,0.63
Apr 15 2018,7.718,7.404,7.797,7.404,3.86
Apr 08 2018,7.431,7.204,7.542,7.153,3.57
Apr 01 2018,7.175,7.333,7.367,7.123,-3.01
Mar 25 2018,7.398,7.577,7.630,7.286,-2.10
Mar 18 2018,7.557,7.585,7.677,7.521,0.00
Mar 11 2018,7.557,7.697,7.711,7.557,-1.49
Mar 04 2018,7.671,7.755,7.800,7.634,-0.87
Feb 25 2018,7.738,7.657,7.776,7.657,0.81
Feb 18 2018,7.676,7.640,7.780,7.640,1.23
Feb 11 2018,7.583,7.489,7.591,7.487,1.16
Feb 04 2018,7.496,7.594,7.611,7.462,-0.99
Jan 28 2018,7.571,7.346,7.664,7.346,3.61
Jan 21 2018,7.307,7.503,7.503,7.269,-2.30
Jan 14 2018,7.479,7.462,7.560,7.417,0.34
Jan 07 2018,7.454,7.313,7.454,7.313,2.19
Dec 31 2017,7.294,7.320,7.398,7.294,-0.33
Dec 24 2017,7.318,7.301,7.398,7.219,0.59
Dec 17 2017,7.275,7.161,7.275,7.161,1.99
Dec 10 2017,7.133,7.118,7.231,7.118,0.59
Dec 03 2017,7.091,7.089,7.091,7.028,0.41
Nov 26 2017,7.062,7.033,7.062,7.022,0.86
Nov 19 2017,7.002,6.912,7.019,6.889,-0.64
Nov 12 2017,7.047,6.975,7.062,6.973,1.29
Nov 05 2017,6.957,6.885,6.957,6.885,1.43
Oct 29 2017,6.859,6.833,6.894,6.833,0.75
Oct 22 2017,6.808,6.788,6.828,6.781,0.68
Oct 15 2017,6.762,6.736,6.765,6.734,0.39
Oct 08 2017,6.736,6.757,6.779,6.732,-0.36
Oct 01 2017,6.760,6.643,6.760,6.632,1.39
Sep 24 2017,6.667,6.642,6.670,6.618,-0.02
Sep 17 2017,6.668,6.603,6.679,6.579,1.03
Sep 10 2017,6.600,6.550,6.600,6.550,0.86
Sep 03 2017,6.544,6.516,6.544,6.489,0.91
Aug 27 2017,6.485,6.564,6.570,6.485,-0.81
Aug 20 2017,6.538,6.510,6.538,6.510,0.38
Aug 13 2017,6.513,6.508,6.534,6.508,0.11
Aug 06 2017,6.506,6.449,6.506,6.449,1.01
Jul 30 2017,6.441,6.451,6.467,6.431,-0.34
Jul 23 2017,6.463,6.408,6.463,6.408,0.42
Jul 16 2017,6.436,6.463,6.463,6.436,-0.42
Jul 09 2017,6.463,6.496,6.496,6.451,-1.06
Jul 02 2017,6.532,6.592,6.592,6.517,0.32
Jun 25 2017,6.511,6.458,6.515,6.458,0.79
Jun 18 2017,6.460,6.477,6.477,6.423,-0.45
Jun 11 2017,6.489,6.520,6.520,6.452,-0.22
Jun 04 2017,6.503,6.639,6.646,6.503,-1.87
May 28 2017,6.627,6.661,6.668,6.623,-2.40
